Country,AlphaNumISO,CCC_IEATrade_Code,CCC_IEATrade_Name,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT040,A.1.1.1.1,Rice,tonnes,42144.0,55208.0,83401.0,40249.0,27494.0,30760.0,43904.0,42851.0,42454.0,46294.0,50586.0,41977.0,45683.0,40337.0,48030.0,46500.0,55042.0,70693.0,57242.0,55512.0,67923.0,66511.0,66094.0,85919.0,131440.0,14412.0,39174.0,37375.0,32179.0,30563.0,28573.0,31858.0,27576.0,25882.0,27591.0,28721.0,28674.0,33146.0,39692.0,38674.0,36170.0,37552.0,40132.0,36935.0,,,,
Azerbaijan,AZE031,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,17000.0,18000.0,7866.0,21170.0,45396.0,38424.0,48000.0,17828.0,15082.0,12748.0,19770.0,17869.0,16986.0,15866.0,15098.0,15032.0,25670.0,21117.0,16473.0,18435.0,15158.0,17241.0,,,,
Bahamas,BHS044,A.1.1.1.1,Rice,tonnes,4207.0,4138.0,4164.0,4263.0,3970.0,3416.0,4844.0,3261.0,2694.0,5500.0,6226.0,8893.0,6533.0,5521.0,5857.0,6789.0,5923.0,6230.0,6585.0,6967.0,6300.0,7051.0,6464.0,6500.0,7415.0,6517.0,5600.0,7404.0,8715.0,12102.0,9289.0,8307.0,9750.0,9101.0,9375.0,10904.0,12422.0,12445.0,10647.0,10585.0,11263.0,10650.0,11723.0,3203.0,,,,
Bahrain,BHR048,A.1.1.1.1,Rice,tonnes,25562.0,26072.0,27380.0,28962.0,23387.0,3726.0,24842.0,59580.0,30605.0,42331.0,39892.0,25403.0,20070.0,24946.0,30507.0,23831.0,21743.0,32344.0,30149.0,30360.0,25000.0,30000.0,38518.0,38233.0,35470.0,40000.0,26700.0,33990.0,30000.0,35920.0,39314.0,41614.0,41628.0,41600.0,46445.0,49833.0,36446.0,52446.0,55902.0,60208.0,67299.0,60088.0,65525.0,88042.0,,,,
Bangladesh,BGD050,A.1.1.1.1,Rice,tonnes,510000.0,347500.0,681000.0,396258.0,94400.0,281917.0,417210.0,104252.0,317865.0,37458.0,548090.0,78535.0,263674.0,317353.0,166506.0,677323.0,52976.0,259677.0,673927.0,62700.0,380062.0,15801.0,17724.0,20865.0,62130.0,984320.0,1030504.0,178872.0,1123185.0,2215322.0,452122.0,152130.0,943359.0,1250712.0,991442.0,705136.0,577064.0,615843.0,838706.0,40238.0,679603.0,1310873.0,44842.0,260256.0,,,,
Barbados,BRB052,A.1.1.1.1,Rice,tonnes,7608.0,7009.0,6498.0,6498.0,6421.0,6567.0,6998.0,6564.0,6456.0,5767.0,8500.0,5865.0,6676.0,7332.0,6670.0,7500.0,6000.0,7405.0,5788.0,6583.0,5886.0,6538.0,8903.0,7682.0,3600.0,7245.0,9421.0,7178.0,5138.0,4749.0,4321.0,5399.0,6609.0,4455.0,6463.0,6141.0,5745.0,5633.0,5847.0,5869.0,5989.0,5447.0,5025.0,5225.0,,,,
Belarus,BLR112,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,28000.0,26000.0,15000.0,3000.0,14132.0,12224.0,17804.0,19440.0,16916.0,22069.0,26558.0,52940.0,29241.0,25653.0,30415.0,33246.0,33334.0,27354.0,30702.0,27934.0,25796.0,30217.0,,,,
Belgium,BEL056,A.1.1.1.1,Rice,tonnes,46474.944816,57122.8834398,55514.5026126,80535.4177065,66829.8645728,60539.5736941,124046.24696,111001.154475,118280.146988,124801.201226,162202.769477,173442.536544,226396.759472,245597.862433,261813.961768,285711.894825,199186.576474,197102.743554,191430.142529,259716.203472,190765.703201,188129.828624,181048.775372,184801.663968,198001.924919,204000.77759,264185.254218,220925.081717,188090.041838,196055.35641,200276.0,234338.0,229066.0,244638.0,278765.0,259875.0,306426.0,332505.0,380870.0,404409.0,408232.0,429922.0,388039.0,433488.0,,,,
Belgium-Luxemburg,BLGLUX,A.1.1.1.1,Rice,tonnes,46724.0,57429.0,55812.0,80967.0,67188.0,60864.0,124711.0,111596.0,118914.0,125470.0,163072.0,174372.0,227610.0,246914.0,263217.0,287243.0,200254.0,198159.0,192456.0,261108.0,191788.0,189138.0,182019.0,185792.0,199063.0,205094.0,265601.0,222109.0,189098.0,197106.0,,,,,,,,,,,,,,,,,,
Belize,BLZ084,A.1.1.1.1,Rice,tonnes,1806.0,1135.0,0.0,0.0,0.0,454.0,1324.0,463.0,834.0,316.0,24.0,8.0,2.0,30.0,52.0,780.0,92.0,1027.0,1178.0,138.0,2273.0,2801.0,2623.0,1503.0,120.0,2167.0,275.0,411.0,952.0,1062.0,246.0,1518.0,717.0,425.0,102.0,201.0,343.0,296.0,476.0,247.0,217.0,139.0,113.0,134.0,,,,
Benin,BEN204,A.1.1.1.1,Rice,tonnes,4300.0,7500.0,12142.0,10010.0,2777.0,4442.0,7647.0,12168.0,4235.0,8237.0,17476.0,20000.0,34287.0,43450.0,48347.0,33000.0,39000.0,40400.0,45000.0,60000.0,131000.0,180400.0,290476.0,295555.0,245468.0,182606.0,142021.0,90825.0,83031.0,72679.0,50008.0,72033.0,124184.0,211717.0,214211.0,378051.0,731970.0,663519.0,697111.0,674486.0,599367.0,982232.0,559227.0,1374002.0,,,,
Bermuda,BMU060,A.1.1.1.1,Rice,tonnes,150.0,300.0,174.0,348.0,373.0,282.0,258.0,237.0,314.0,300.0,296.0,262.0,331.0,278.0,330.0,262.0,350.0,318.0,507.0,395.0,312.0,383.0,363.0,415.0,350.0,300.0,310.0,330.0,410.0,350.0,330.0,330.0,401.0,220.0,166.0,326.0,539.0,142.0,174.0,441.0,357.0,529.0,338.0,528.0,,,,
Bhutan,BTN064,A.1.1.1.1,Rice,tonnes,2300.0,2350.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,3000.0,2500.0,7035.0,7368.0,7841.0,10063.0,10000.0,18518.0,16750.0,11600.0,9900.0,19433.0,23810.0,19582.0,22242.0,26973.0,24944.0,28527.0,29011.0,9728.0,38702.0,33693.0,9628.0,17402.0,30812.0,19874.0,24739.0,13252.0,7381.0,52089.0,54585.0,52000.0,54679.0,46996.0,7948.0,,,,
Bolivia,BOL068,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,885.0,2297.0,121.0,13.0,0.0,0.0,2.0,33.0,2798.0,35000.0,7839.0,19000.0,3574.0,5480.0,711.0,2577.0,1323.0,1055.0,3410.0,1018.0,614.0,274.0,246.0,908.0,274.0,2252.0,9507.0,7169.0,7785.0,2321.0,2896.0,3356.0,1497.0,13290.0,43648.0,16108.0,2317.0,5656.0,2636.0,36244.0,,,,
Bosnia and Herzegovina,BIH070,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,1400.0,1600.0,5700.0,1000.0,1200.0,3100.0,3700.0,2200.0,2500.0,2860.0,4041.0,5504.0,6885.0,7187.0,7029.0,7299.0,6541.0,6426.0,6984.0,7170.0,7507.0,7049.0,,,,
Botswana,BWA072,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,430.0,580.0,1000.0,1000.0,1000.0,1064.0,1607.0,1678.0,2106.0,2363.0,3396.0,4119.0,5109.0,5873.0,6498.0,6791.0,6395.0,6451.0,9891.0,11378.0,10465.0,11624.0,13085.0,11806.0,11202.0,12510.0,10122.0,18593.0,14239.0,22456.0,21300.0,21625.0,22950.0,28258.0,25705.0,19873.0,22211.0,22790.0,21917.0,24737.0,,,,
Brazil,BRA076,A.1.1.1.1,Rice,tonnes,27.0,1513.0,8872.0,10983.0,536.0,57504.0,16624.0,396.0,28560.0,708875.0,238536.0,142509.0,125232.0,313040.0,204.0,338109.0,1392574.0,98507.0,103649.0,165369.0,409725.0,953211.0,578258.0,687915.0,981968.0,864404.0,779834.0,802158.0,1292544.0,965610.0,632139.0,670122.0,543412.0,1044146.0,830125.0,494630.0,618364.0,686656.0,419065.0,624360.0,747909.0,580594.0,693757.0,737363.0,,,,
British Virgin Islands,VGB092,A.1.1.1.1,Rice,tonnes,120.0,129.0,137.0,120.0,152.0,126.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,217.0,220.0,185.0,388.0,636.0,413.0,0.0,0.0,0.0,0.0,,,,
Brunei Darussalam,BRN096,A.1.1.1.1,Rice,tonnes,10883.0,9202.0,10125.0,13709.0,11606.0,10574.0,10750.0,16279.0,16024.0,13444.0,15914.0,21080.0,16557.0,20763.0,17707.0,18138.0,21884.0,26410.0,10639.0,20000.0,30000.0,21327.0,28000.0,28000.0,19334.0,21826.0,22297.0,33292.0,38154.0,32630.0,40100.0,30100.0,34231.0,22506.0,34583.0,33332.0,44581.0,33740.0,37861.0,38689.0,45246.0,33679.0,42762.0,24013.0,,,,
Bulgaria,BGR100,A.1.1.1.1,Rice,tonnes,1599.0,1950.0,1027.0,3656.0,6516.0,5010.0,7036.0,14310.0,8191.0,5429.0,7592.0,192.0,4948.0,19539.0,8705.0,22018.0,32226.0,35258.0,15156.0,25410.0,20766.0,12136.0,14043.0,48192.0,46583.0,45492.0,36084.0,31258.0,24805.0,18270.0,22770.0,23688.0,16945.0,22571.0,21685.0,16412.0,28243.0,10487.0,14317.0,28963.0,22085.0,24104.0,17257.0,27057.0,,,,
Burkina Faso,BFA854,A.1.1.1.1,Rice,tonnes,2400.0,1150.0,34.0,3276.0,3004.0,9033.0,11086.0,16271.0,9300.0,24416.0,29642.0,14581.0,33040.0,37474.0,77877.0,104022.0,79691.0,60599.0,85734.0,90453.0,69654.0,73465.0,86600.0,80000.0,156462.0,108350.0,180607.0,178056.0,142116.0,205340.0,166579.0,195779.0,205658.0,146045.0,181617.0,197609.0,190678.0,148881.0,137081.0,264440.0,240211.0,308939.0,396016.0,439080.0,,,,
Burundi,BDI108,A.1.1.1.1,Rice,tonnes,274.0,63.0,3005.0,1367.0,552.0,1000.0,906.0,1568.0,1200.0,1047.0,224.0,48.0,183.0,1508.0,2852.0,6.0,1561.0,1659.0,4.0,27.0,8.0,1142.0,1673.0,2434.0,5637.0,3962.0,1029.0,643.0,4712.0,461.0,2909.0,3125.0,820.0,261.0,10856.0,5116.0,11137.0,7328.0,5499.0,11477.0,20455.0,8193.0,28549.0,18061.0,,,,
Cambodia,KHM116,A.1.1.1.1,Rice,tonnes,1053.0,17643.0,58096.0,105354.0,200000.0,80000.0,0.0,0.0,0.0,200000.0,138500.0,131600.0,145400.0,71500.0,100000.0,55000.0,80000.0,80000.0,105000.0,38400.0,25800.0,20000.0,81000.0,84000.0,51000.0,81000.0,25966.0,27600.0,62020.0,53731.0,62550.0,45963.0,68741.0,62164.0,75641.0,40209.0,32921.0,48895.0,27600.0,19794.0,70987.0,19324.0,115886.0,41084.0,,,,
Cameroon,CMR120,A.1.1.1.1,Rice,tonnes,7794.0,31923.0,28234.0,23873.0,17292.0,1707.0,7011.0,23115.0,18761.0,41283.0,20721.0,11039.0,16706.0,51168.0,31020.0,47756.0,57881.0,74871.0,49547.0,57284.0,90287.0,50082.0,73000.0,95046.0,174704.0,124142.0,26702.0,172312.0,135339.0,151593.0,158208.0,250460.0,328848.0,243430.0,301101.0,446466.0,436125.0,470920.0,427310.0,469450.0,363823.0,494712.0,551309.0,753263.0,,,,
Canada,CAN124,A.1.1.1.1,Rice,tonnes,58626.0,77653.0,75139.0,73514.0,63609.0,68525.0,73712.0,74230.0,77537.0,85693.0,88130.0,94717.0,104177.0,103291.0,108782.0,111229.0,125151.0,129902.0,138705.0,143421.0,156429.0,165910.0,182012.0,194208.0,193061.0,219876.0,230839.0,268610.0,255015.0,258313.0,258832.0,264898.0,249951.0,260456.0,331031.0,331738.0,336222.0,342432.0,367992.0,377040.0,364824.0,365764.0,351752.0,514125.0,,,,
Cape Verde,CPV132,A.1.1.1.1,Rice,tonnes,2692.0,3533.0,4213.0,4793.0,3494.0,1611.0,2740.0,10401.0,5851.0,4929.0,10274.0,5389.0,17024.0,7861.0,7594.0,17690.0,13371.0,11465.0,11516.0,17510.0,8746.0,15489.0,16867.0,17876.0,24125.0,18352.0,20813.0,26232.0,19648.0,25721.0,22151.0,27419.0,20682.0,34862.0,42998.0,31774.0,28683.0,35526.0,46989.0,93149.0,40028.0,33052.0,37762.0,36242.0,,,,
Cayman Islands,CYM136,A.1.1.1.1,Rice,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,225.0,200.0,300.0,380.0,370.0,300.0,200.0,500.0,200.0,300.0,200.0,200.0,150.0,150.0,100.0,230.0,450.0,210.0,130.0,130.0,232.0,551.0,382.0,413.0,432.0,388.0,860.0,693.0,699.0,131.0,100.0,230.0,230.0,,,,
Central African Republic,CAF140,A.1.1.1.1,Rice,tonnes,457.0,122.0,100.0,21.0,94.0,85.0,82.0,206.0,107.0,84.0,500.0,2000.0,2500.0,2389.0,151.0,4006.0,5890.0,4000.0,2627.0,2766.0,3600.0,2857.0,1736.0,504.0,1451.0,1796.0,1067.0,1752.0,2478.0,1851.0,2066.0,4248.0,2994.0,3008.0,2430.0,2417.0,2075.0,2516.0,3968.0,6247.0,1748.0,910.0,3169.0,7981.0,,,,
Chad,TCD148,A.1.1.1.1,Rice,tonnes,25.0,51.0,7.0,23.0,766.0,509.0,1000.0,2000.0,3000.0,5500.0,2450.0,2100.0,5000.0,3053.0,8513.0,27383.0,17200.0,17000.0,17000.0,9500.0,5000.0,5000.0,5000.0,37500.0,6697.0,5874.0,1898.0,2300.0,0.0,0.0,0.0,1556.0,20.0,296.0,5030.0,5215.0,1650.0,528.0,746.0,761.0,10936.0,1012.0,7850.0,1016.0,,,,
Chile,CHL152,A.1.1.1.1,Rice,tonnes,36764.0,19794.0,15769.0,6752.0,72051.0,22441.0,9399.0,32208.0,11252.0,9000.0,25784.0,19668.0,21613.0,31169.0,8323.0,2772.0,36509.0,21072.0,25358.0,5687.0,33721.0,79118.0,20506.0,36354.0,47069.0,50574.0,49778.0,90636.0,71546.0,108071.0,68023.0,82619.0,76647.0,135397.0,89513.0,94050.0,102205.0,112226.0,123973.0,119181.0,124133.0,106945.0,122894.0,112637.0,,,,
China,CHN156,A.1.1.1.1,Rice,tonnes,5000.0,0.0,0.0,0.0,0.0,27000.0,118000.0,4000.0,170000.0,120000.0,130000.0,273000.0,222067.0,75000.0,100000.0,210763.0,322348.0,550336.0,310289.0,1203087.0,58854.0,142651.0,103550.0,96215.0,511551.0,1640255.0,760388.0,326172.0,243841.0,168121.0,238593.0,269056.0,235628.0,256942.0,756417.0,513950.0,718198.0,470647.0,293326.0,332669.0,363156.0,574972.0,2334417.0,2235839.0,,,,
Colombia,COL170,A.1.1.1.1,Rice,tonnes,143.0,78.0,40.0,42.0,0.0,0.0,0.0,21046.0,17452.0,14275.0,4312.0,69.0,194.0,488.0,292.0,70.0,26.0,244.0,40781.0,205.0,90.0,251.0,69067.0,60072.0,233666.0,122475.0,135600.0,165009.0,292273.0,37010.0,58472.0,162562.0,62965.0,44772.0,96318.0,32111.0,197028.0,135269.0,29537.0,101934.0,6298.0,42563.0,115692.0,151646.0,,,,
Comoros,COM174,A.1.1.1.1,Rice,tonnes,12461.0,20004.0,14318.0,12036.0,16532.0,10368.0,12450.0,9616.0,13956.0,23244.0,12060.0,30648.0,24854.0,18235.0,31210.0,15948.0,29517.0,14940.0,29040.0,29183.0,29928.0,28120.0,32492.0,30271.0,28518.0,40965.0,27748.0,32057.0,32433.0,41941.0,23126.0,25843.0,58116.0,16615.0,22100.0,39444.0,33523.0,38537.0,37644.0,33527.0,53925.0,37892.0,65443.0,39681.0,,,,
Cook Islands,COK184,A.1.1.1.1,Rice,tonnes,311.0,250.0,210.0,120.0,130.0,150.0,170.0,190.0,170.0,220.0,240.0,240.0,136.0,156.0,236.0,296.0,356.0,416.0,476.0,500.0,173.0,139.0,150.0,200.0,300.0,300.0,300.0,201.0,156.0,245.0,245.0,132.0,78.0,9.0,47.0,71.0,28.0,7.0,40.0,94.0,321.0,35.0,43.0,35.0,,,,
Costa Rica,CRI188,A.1.1.1.1,Rice,tonnes,6228.0,15996.0,1357.0,349.0,278.0,408.0,69.0,37.0,68.0,139.0,33.0,25.0,1242.0,38638.0,231.0,3.0,17.0,14.0,23586.0,34723.0,23.0,14.0,48771.0,42461.0,49121.0,36875.0,56954.0,58681.0,80771.0,51603.0,43535.0,52376.0,66383.0,103807.0,107958.0,109251.0,102336.0,123110.0,69765.0,79109.0,66055.0,56416.0,68562.0,84900.0,,,,
Cote d'Ivoire,CIV384,A.1.1.1.1,Rice,tonnes,78743.0,97255.0,77122.0,147394.0,69709.0,1634.0,2315.0,112547.0,126199.0,197663.0,253136.0,335278.0,356742.0,382606.0,320801.0,342246.0,361066.0,479270.0,266247.0,322801.0,337772.0,340387.0,357300.0,412469.0,258121.0,380687.0,302185.0,465096.0,517538.0,421133.0,438223.0,641871.0,716312.0,735284.0,714185.0,808205.0,903216.0,808480.0,762205.0,1121082.0,859909.0,1311971.0,1685832.0,808249.0,,,,
Croatia,HRV191,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,4257.0,4150.0,6804.0,5787.0,6609.0,9173.0,7796.0,8946.0,9215.0,10510.0,9775.0,10720.0,10633.0,10654.0,10742.0,10409.0,11052.0,11595.0,10558.0,10832.0,10461.0,10627.0,,,,
Cuba,CUB192,A.1.1.1.1,Rice,tonnes,199042.0,279935.0,255797.0,201160.0,276295.0,199804.0,179370.0,144172.0,170625.0,161009.0,229578.0,199006.0,200949.0,206698.0,184014.0,242358.0,188758.0,221011.0,201078.0,242163.0,235000.0,274125.0,283825.0,383255.0,313063.0,335938.0,338021.0,290564.0,310060.0,462292.0,416685.0,451792.0,551059.0,419130.0,532843.0,723302.0,586450.0,590042.0,633375.0,514142.0,425298.0,560540.0,470430.0,459672.0,,,,
Cyprus,CYP196,A.1.1.1.1,Rice,tonnes,3228.0,2883.0,2778.0,3236.0,2540.0,1178.0,1743.0,1774.0,3137.0,3288.0,2076.0,2489.0,3431.0,1993.0,2537.0,2533.0,2460.0,2634.0,2876.0,2908.0,2812.0,2741.0,3651.0,2968.0,3881.0,3237.0,3712.0,3591.0,3996.0,4010.0,4417.0,4511.0,4691.0,7171.0,4150.0,4990.0,5610.0,6315.0,7683.0,5444.0,7117.0,6209.0,5969.0,6316.0,,,,
Czech Republic,CZE203,A.1.1.1.1,Rice,tonnes,,,,,,,,,,,,,,,,,,,,,,,,33848.0,39841.0,62650.0,67812.0,54150.0,61430.0,57235.0,54855.0,47984.0,54586.0,58951.0,58397.0,47554.0,63362.0,65206.0,66440.0,59904.0,64405.0,63868.0,68123.0,73381.0,,,,
Czechoslovakia,CSK200,A.1.1.1.1,Rice,tonnes,76921.0,80000.0,70000.0,70000.0,74000.0,71000.0,83703.0,84000.0,69000.0,86000.0,73000.0,80855.0,66000.0,50000.0,73000.0,74300.0,61000.0,58000.0,74500.0,89890.0,80000.0,49740.0,48657.0,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK208,A.1.1.1.1,Rice,tonnes,7302.0,10657.0,14760.0,14011.0,11586.0,9262.0,13435.0,11487.0,10899.0,11830.0,12096.0,12639.0,12002.0,12005.0,13925.0,14491.0,14943.0,15790.0,15908.0,17794.0,18459.0,16461.0,16631.0,19049.0,18136.0,16758.0,20806.0,23207.0,25999.0,31893.0,28055.0,30738.0,34661.0,34353.0,33490.0,32610.0,40799.0,30886.0,34983.0,38006.0,36861.0,40538.0,36374.0,34426.0,,,,
Djibouti,DJI262,A.1.1.1.1,Rice,tonnes,5230.0,5530.0,6000.0,6000.0,6000.0,3753.0,9196.0,7300.0,10100.0,8457.0,11271.0,10872.0,24884.0,8281.0,12888.0,39193.0,23013.0,15450.0,21487.0,15055.0,23906.0,18193.0,16470.0,66000.0,53500.0,25600.0,20400.0,17300.0,14700.0,24100.0,24890.0,10575.0,24327.0,30103.0,34180.0,32781.0,46120.0,61500.0,22975.0,19711.0,28020.0,47638.0,62446.0,92944.0,,,,
Dominica,DMA212,A.1.1.1.1,Rice,tonnes,712.0,500.0,523.0,407.0,360.0,607.0,488.0,824.0,497.0,336.0,99.0,510.0,700.0,353.0,889.0,761.0,1387.0,1006.0,1002.0,974.0,1095.0,1000.0,1100.0,1786.0,961.0,1102.0,932.0,1149.0,243.0,367.0,1181.0,904.0,950.0,922.0,1079.0,1101.0,1021.0,1079.0,1121.0,1180.0,617.0,565.0,489.0,1191.0,,,,
Dominican Republic,DOM214,A.1.1.1.1,Rice,tonnes,540.0,0.0,8851.0,29686.0,70301.0,49510.0,56245.0,58313.0,18433.0,496.0,33044.0,64933.0,0.0,0.0,0.0,12455.0,91159.0,47400.0,7000.0,23360.0,41000.0,28500.0,3900.0,700.0,2100.0,47900.0,3400.0,68500.0,66000.0,82100.0,53600.0,53600.0,974.0,3162.0,67427.0,62636.0,53364.0,12335.0,10472.0,32674.0,25074.0,19874.0,29568.0,65068.0,,,,
DR Congo,COD180,A.1.1.1.1,Rice,tonnes,25573.0,37965.0,36204.0,35312.0,13437.0,10383.0,55100.0,40000.0,32072.0,32000.0,26000.0,25000.0,32500.0,32500.0,37000.0,40000.0,80000.0,80000.0,70000.0,86593.0,85000.0,60825.0,105500.0,50160.0,42709.0,70766.0,62416.0,104494.0,53589.0,51130.0,51337.0,71648.0,85215.0,141718.0,185257.0,208952.0,306088.0,110206.0,98237.0,72978.0,47480.0,59759.0,99589.0,81667.0,,,,
Ecuador,ECU218,A.1.1.1.1,Rice,tonnes,910.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,495.0,32054.0,17201.0,11746.0,0.0,35000.0,44245.0,14260.0,68.0,44.0,500.0,49385.0,19219.0,0.0,309.0,1098.0,239.0,920.0,252.0,2730.0,96254.0,2693.0,6137.0,555.0,139.0,204.0,487.0,127.0,155.0,93.0,958.0,231.0,170.0,226.0,45052.0,602.0,,,,
Egypt,EGY818,A.1.1.1.1,Rice,tonnes,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0,16.0,7000.0,22321.0,22100.0,3386.0,2443.0,3800.0,180.0,1330.0,982.0,4730.0,360.0,694.0,697.0,6045.0,1210.0,98525.0,1343.0,1924.0,2927.0,4417.0,105674.0,117863.0,42666.0,15649.0,17552.0,93721.0,291253.0,20360.0,,,,
